false_positive_rate,true_positive_rate,threshold
0.00315955766192733,0.05560439065070886,0.938103893891016
0.00315955766192733,0.055807244122884125,0.9381037893002048
0.00315955766192733,0.05603263686974553,0.9379016371792946
0.00315955766192733,0.05607771541911781,0.9378932606974646
0.00315955766192733,0.05616787251786238,0.9378141013103881
0.00315955766192733,0.05621295106723466,0.9378094331102922
0.00315955766192733,0.05659611873689905,0.9374978367863861
0.00315955766192733,0.05668627583564361,0.937486359753218
0.00315955766192733,0.05673135438501589,0.9374569456800506
0.00315955766192733,0.05682151148376045,0.9374503982671454
0.00315955766192733,0.056866590033132734,0.9374437244777537
0.00315955766192733,0.05688912930781887,0.9374344821417733
0.00315955766192733,0.056956747131877296,0.9374320930178118
0.00315955766192733,0.05709198277999414,0.9373977486221505
0.00315955766192733,0.05713706132936642,0.9373557420946885
0.00315955766192733,0.0571821398787387,0.9373417905807562
0.00315955766192733,0.057204679153424844,0.9373270464660832
0.00315955766192733,0.057249757702797124,0.9373029244349397
0.00315955766192733,0.05754276827371695,0.9372973725133334
0.00315955766192733,0.05770054319651994,0.9372297622639507
0.00315955766192733,0.05774562174589222,0.9372112974906147
0.00315955766192733,0.05785831811932292,0.9371452764577483
0.00315955766192733,0.05866973200802398,0.9371369854439304
0.00315955766192733,0.058737349832082404,0.9371054485819142
0.00315955766192733,0.058827506930826966,0.937086608011108
0.00315955766192733,0.05905289967768837,0.9368619101690757
0.00315955766192733,0.05914305677643293,0.9368534770388105
0.00315955766192733,0.05932337097392206,0.9367854178876179
0.00315955766192733,0.05936844952329434,0.9367791691795913
0.00315955766192733,0.05979669574233101,0.9366165807747951
0.00315955766192733,0.05990939211576171,0.9365837589248158
0.00315955766192733,0.06051795253228751,0.9365612611660435
0.00315955766192733,0.06072080600446278,0.9363443667755592
0.00315955766192733,0.0607884238285212,0.9363387842155643
0.00315955766192733,0.06081096310320734,0.9363071745238731
0.00315955766192733,0.06085604165257962,0.9362904859743553
0.00315955766192733,0.06092365947663804,0.9362098763222059
