company,count,percent
UNIVERSAL ACCEPTANCE CORPORATION (NE),121,0.01
Supreme Lending,121,0.01
BANCORPSOUTH BANK,120,0.01
"Mid-Atlantic Finance Co., Inc.",119,0.01
"Happy Money, Inc.",119,0.01
"TIDEWATER FINANCE COMPANY, INC.",118,0.01
Novo Platform Inc.,117,0.01
BEACON FINANCIAL CORPORATION,117,0.01
REVERSE MORTGAGE INVESTMENT TR,116,0.01
"HOME BANCSHARES, INC.",116,0.01
FIRST MERCHANTS CORPORATION,115,0.01
TomoCredit Inc.,115,0.01
Transform Credit Inc.,115,0.01
E*TRADE BANK,115,0.01
TCF FINANCIAL CORPORATION,114,0.01
"Ingo Money, Inc.",114,0.01
"PRIMELENDING, A PLAINSCAPITAL COMPANY",113,0.01
HEARTLAND PAYMENT SYSTEMS INC,112,0.01
Mercury Financial Intermediate LLC,110,0.01
FIRST REPUBLIC BANK,109,0.01
"IMPAC MORTGAGE HOLDINGS, INC.",108,0.01
Franklin Credit Management Corporation,108,0.01
SAN DIEGO COUNTY CREDIT UNION,108,0.01
AMERICAN INTERNET MORTGAGE,107,0.01
CATHAY BANK,106,0.01
FIRST FINANCIAL BANCORP,106,0.01
"TRIAD FINANCIAL SERVICES, INC.",106,0.01
"John C. Heath, Attorney at Law, PLLC",105,0.01
NCB Management Services Inc.,105,0.01
Siggi LLC,104,0.01
Academy Mortgage Corporation,104,0.01
CNG HOLDINGS INC,104,0.01
"AC AutoPay LLC, Denver, CO Branch",103,0.01
COLORADO HOUSING AND FINANCE AUTHORITY,102,0.01
"MB FINANCIAL, INC.",102,0.01
The J. G. Wentworth Company,102,0.01
"PulteGroup, Inc.",101,0.01
AmeriCash Holding LLC,100,0.01
"LCO Financial Services, LLC",100,0.01
"Bridge IT, Inc.",99,0.01
"Flagstar Bank, National Association",98,0.01
"BANKUNITED, NATIONAL ASSOCIATION",97,0.01
AMERICAN PACIFIC MORTGAGE,97,0.01
Cottonwood Financial Ltd.,97,0.01
"Tilt Finance, Inc.",97,0.01
Western-Shamrock Corporation,97,0.01
"CASHCALL, INC.",96,0.01
Quality Loan Service Corporation,95,0.01
DOLLAR MUTUAL BANCORP,95,0.01
SIERRA PACIFIC MORTGAGE,95,0.01
"Neighborhood Assistance Corporation of America (""NACA"")",95,0.01
Deutsche Bank,94,0.01
Amscot Corporation,94,0.01
Lendbuzz Inc.,94,0.01
Indie Technology DBA Found,94,0.01
EASTERN BANKSHARES INC,94,0.01
"CENTRAL BANCOMPANY, INC",93,0.01
CHERRY TECHNOLOGIES INC.,93,0.01
eToro USA LLC,93,0.01
"GFS II, LLC",92,0.01
LendUp Loans LLC,92,0.01
