company,count,percent
Gross Polowy LLC,4,0.0
Supreme Solutions,4,0.0
Five Clans Lending LLC,4,0.0
Commercial Acceptance Company,4,0.0
"Diversified Adjustment Service, Inc.",4,0.0
"The Check Cashing Place, Inc.",4,0.0
"WOLFE FINANCIAL, INC.",4,0.0
"Modern Mortgage Financial, LLC",4,0.0
"Presto Auto Loans, Inc.",4,0.0
"PRIMAVERA FINANCIAL, INC.",4,0.0
1st Fidelity Loan Servicing,4,0.0
"Home Approvals Direct, Inc.",4,0.0
"Dean Morris, L.L.P.",4,0.0
"Century Finance, Inc.",4,0.0
Neighhood Housing Services of Chicago Inc,4,0.0
"JTM Capital Management, LLC",4,0.0
"Auto Credit Corporation of Jonesboro, iNC.",4,0.0
"Adobe Settlement Group, LLC",4,0.0
"Imperial Recovery Consultants, LLC",4,0.0
Activus Corporation,4,0.0
"Hayt Hayt & Landau, P.L. (FL)",4,0.0
"Bonial & Associates, P.C",4,0.0
Action Finance Inc.,4,0.0
Ricart Financial Services,4,0.0
Mathew Aaron Holdings Inc.,4,0.0
Credee Corporation,4,0.0
Courtesy Finance LLC,4,0.0
CAPITAL CENTER LLC,4,0.0
"FIRST FINANCIAL SERVICES, INC.",4,0.0
PERSIAN ACCEPTANCE CORP,4,0.0
MODERN FINANCE COMPANY,4,0.0
Tiptree Financial Inc.,4,0.0
Iron Capital Group,4,0.0
"Homie Technology, Inc",4,0.0
"Mezu, Inc",4,0.0
Olympus Lending LLC,4,0.0
D. SCOTT CARRUTHERS,4,0.0
FUTURE FINANCE COMPANY,4,0.0
Pomelo Technology US Inc,4,0.0
Speedee Cash Management,4,0.0
"Innovative Mortgage Services, Inc.",4,0.0
"RCS Recovery Services, LLC",4,0.0
"N.A.R., Inc.",4,0.0
"Student Loan Care, LLC",4,0.0
HCFS Healthcare Financial Services of TeamHealth,4,0.0
Intelligent Mortgage and Consulting Services LLC,4,0.0
Earm LLC,4,0.0
AHL Funding,4,0.0
"Consolidated Management Group, LLC",4,0.0
"Coast 2 Coast Financial Group, LLC",4,0.0
"Young America Holdings, LLC",4,0.0
"Simpson Law Firm, P.A.",4,0.0
Chesmar Homes,4,0.0
Middle Georgia Management Services,4,0.0
Wakpamni Lake Community Corporation,4,0.0
RLB Texas Auto Center LLC,4,0.0
American Recovery Service Incorporated,4,0.0
Karwaala Inc,4,0.0
CrediautoUSA Financial Company LLC,4,0.0
"Heavner, Beyers & Mihlar LLC",4,0.0
SIRVA WORLDWIDE INC.,4,0.0
"Leopold & Associates, LLC",4,0.0
"C & E Financial Group, Inc.",4,0.0
"AZ Home Loans, LLC",4,0.0
"American Liberty Mortgage, Inc.",4,0.0
"Sago Financial, Inc.",4,0.0
Green Square Company LLC.,4,0.0
First Midwest Financial,4,0.0
Tan Oak Financial,4,0.0
"Oquirrh Mountain Law Group, P.C.",4,0.0
"Alliance One, Inc.",4,0.0
"GL Financial, Inc.",4,0.0
RMK Financial Corp,4,0.0
HOME ACCEPTANCE CORPORATION,4,0.0
First Consumers Financial LLC,4,0.0
"Creekside Finance, Inc.",4,0.0
Reliance Motor Credit LLC,4,0.0
"Avantus, LLC",4,0.0
Sher & Shabsin PC,4,0.0
Priority Financial Network,4,0.0
Lien Enforcement Inc,4,0.0
"Orions Management Group, LLC",4,0.0
"SHD Legal Group, P.A.",4,0.0
"Capital Auto Credit, LLC",4,0.0
Lengenuity LLC,4,0.0
TITLE MIDWEST INC,4,0.0
RRD Financial LLC,4,0.0
Jeremy Doppelt Realty Management LLC Defined Benefit Plan,4,0.0
Evident Capital LLC,4,0.0
Pacific Rim Alliance Corporation,4,0.0
Pilgrim Mortgage LLC,4,0.0
"First Premier Financial, Inc.",4,0.0
Logan Finance Corporation,4,0.0
"Bright Side Loans, LLC",4,0.0
Anytime Cash Solutions LLC,4,0.0
"Ogden Holdings, LLC",4,0.0
Carma Enterprises Inc,4,0.0
"FX Quick Cash, LLC",4,0.0
Royalty Lending Financial Services Inc.,4,0.0
"Ascension Point Recovery Services, LLC",4,0.0
"Collection at Law, Inc. A.P.C.",4,0.0
LHM Financial,4,0.0
"Hogan Capital II, LLC",4,0.0
"AMERIPRISE BANK, FSB",4,0.0
Messerli & Kramer P.A.,4,0.0
"National Consumer Telecom & Utilities Exchange, Inc.",4,0.0
Layer2 Financial Inc.,4,0.0
INTERNATIONAL CITY MORTGAGE,4,0.0
MIRACLE FINANCE LTD,4,0.0
Hightechlendinginc,4,0.0
PARKS TITLE COMPANY,4,0.0
Synergetic Communication Inc,4,0.0
"LoanHero, Inc",4,0.0
Premier Auto Finance of South Florida,4,0.0
"PayNearMe MT, Inc.",4,0.0
"Mexico Transfers, Inc.",4,0.0
Gatestone & Co. International Inc.,4,0.0
"Interstate Recovery Service, Inc.",4,0.0
"HOME LENDING GROUP, LLC, THE",4,0.0
Credential Acceptance Corporation,4,0.0
"Friedman Law Associates, PC",4,0.0
"StellarFinance, Inc.",4,0.0
"Allied Collection Services, Inc. (Nevada)",4,0.0
"Advantage Auto Sales, Inc.",4,0.0
"Andreu, Palma & Andreu, PL",4,0.0
Auto Finance Center,4,0.0
"Insta-Credit Auto Mart, Inc. dba InstaCredit Automart",4,0.0
The B & F Corporation d/b/a OK Loan Service,4,0.0
"Great Marten Holdings, Inc.",4,0.0
"Mineola Texas Star, LLC.",4,0.0
"Pennsylvania Auto Credit, Inc.",4,0.0
Goshen Mortgage LLC,4,0.0
Penn Credit Corporation,4,0.0
"HMSV Financial Services, Inc.",4,0.0
"Manhattan Beach Venture, LLC",4,0.0
Stream Innovations Inc.,4,0.0
Quick Debt Services LLC,4,0.0
Nation One Mortgage Corporation,4,0.0
"Asset Management Holdings, LLC",4,0.0
Highline Automotive Inc.,3,0.0
"3D Financial, LP",3,0.0
Daramad LLC,3,0.0
Residential Title & Escrow Co,3,0.0
Catalyst Mortgage Inc.,3,0.0
DIXIE FINANCE COMPANY,3,0.0
"Rozlin Financial Group, Inc.",3,0.0
"ClarityPay, Inc.",3,0.0
"Apple Law Group, Inc.",3,0.0
Mezcal Corporation,3,0.0
"Frank Innovations, Inc",3,0.0
"Fenix Holdings, LLC",3,0.0
"MORTGAGE AMERICA, INC",3,0.0
"American Elite Recovery, LLC",3,0.0
"RAM America, Inc",3,0.0
EVERCOMMERCE SOLUTIONS INC.,3,0.0
TENET HEALTHCARE CORPORATION,3,0.0
YES AUTO CREDIT,3,0.0
CIBC BANK USA,3,0.0
"CENDERA FUNDING, INC.",3,0.0
Capital Home Advocacy Center,3,0.0
"TOWNE MORTGAGE, LLC",3,0.0
"SpeedyCash, Inc.",3,0.0
"Red White and Blue Autos, Inc.",3,0.0
"RN Financial, LLC",3,0.0
AML Funding LLC,3,0.0
"Pivot Financial Partners, Inc.",3,0.0
"SMARTPAY, LLC",3,0.0
Capstone Private Mortgage Holdings Limited,3,0.0
Clearview Resolution Services,3,0.0
"Approved Mortgage Source, LLC",3,0.0
Future Judgement Solutions,3,0.0
Ahn Management LLC,3,0.0
Whitestone Financial Holdings LLC,3,0.0
"MSW Capital, LLC",3,0.0
"Fresh Start Funding, LLC",3,0.0
Hans Capital Group dba H&L Automotive Financial Services,3,0.0
SIMPLE CAR TITLE LOANS INC,3,0.0
"EQUITY HOME LENDERS, INC",3,0.0
Mills Escrow Company,3,0.0
"All State Credit Bureau, Inc.",3,0.0
Arcon Credit Solutions LLC,3,0.0
Law Offices of Alan J. Waintraub PLLC,3,0.0
Farm Bureau Finance Company,3,0.0
Sterling Infosystems Inc.,3,0.0
Commercial Credit Counseling Services Inc.,3,0.0
"Klima, Peters & Daly, P.A.",3,0.0
"Residential Mortgage Solutions, Inc.",3,0.0
Pacific Residential Mortgage,3,0.0
"SML Capital, Inc.",3,0.0
"Green Mountain Capital, LLC",3,0.0
East Coast Funding Group,3,0.0
TFC Credit Corporation of California,3,0.0
"Partnerships & Investments, LLC",3,0.0
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",3,0.0
First Loan Choice,3,0.0
"CREDIT BUREAU OF NAPA COUNTY, INC.",3,0.0
COAST 2 COAST FUNDING GROUP,3,0.0
"Plutos Sama, LLC",3,0.0
"University Lending Group, LLC",3,0.0
"Search ROI, LLC",3,0.0
Jet Lending Inc.,3,0.0
"i3 Lending, Inc",3,0.0
Stratus Financial LLC,3,0.0
TIDEWATER MORTGAGE SERVICES,3,0.0
"BCION, A DIVISION OF ION BANK",3,0.0
"Cash Security, Inc.",3,0.0
REDEMPTION FINANCIAL SERVICES LLC dba NATIONAL AUTO ACCEPTANCE,3,0.0
"Lend You Cash, Inc",3,0.0
One Way Loans LLC dba PowerLend,3,0.0
"ECMC GROUP, INC.",3,0.0
"Coastal Finance Company, Inc.",3,0.0
"Checkr, Inc",3,0.0
"Glick Management, LLC",3,0.0
"The Outsource Group, Inc",3,0.0
Secure One Financial Inc.,3,0.0
"Sum Investments, Inc.",3,0.0
"Williams & Fudge, Inc",3,0.0
Blackhawk Finance,3,0.0
"Tier Capital, LLC",3,0.0
"AutoCred, Inc.",3,0.0
A-1 Payday Loans and Title Loan Referral Inc.,3,0.0
Credit Glory LLC,3,0.0
No Limits Access,3,0.0
"G&P Enterprises, LLC",3,0.0
Koster's Cash Loans,3,0.0
"LUCKY MONEY, INC.",3,0.0
William Lyon Mortgage LLC,3,0.0
"Moore Legal Group, LLC",3,0.0
Performant Financial Corporation,3,0.0
"Premier Consumer Credit Counseling, Inc.",3,0.0
Nationwide Servicing Center Inc,3,0.0
Woodward Capital LLC,3,0.0
"Ambassador Mortgage, LLC",3,0.0
"Eastern Account Systems of Connecticut, Inc.",3,0.0
VIP Mortgage Inc.,3,0.0
"Homeward, Inc.",3,0.0
Ray Skillman Northeast Buick GMC Truck Inc,3,0.0
ATM OPS INC,3,0.0
"Dorough & Dorough, LLC",3,0.0
T.S. Holdings,3,0.0
Stone Higgs & Drexler,3,0.0
RedBrick Financial Group Inc.,3,0.0
"All Reverse Mortgage, Inc.",3,0.0
"Westview Financial Services VA, LLC",3,0.0
"AMERICA'S LOAN COMPANY, LLC",3,0.0
APLUS INSTACASH LLC dba A+ FINANCE,3,0.0
Entrata Inc.,3,0.0
Reese Law Group,3,0.0
"Giact Systems, LLC",3,0.0
"United First, LLC",3,0.0
Bell Financial Services,3,0.0
"Thunderbird Finance Management, LC",3,0.0
TITLE FINANCIAL CORPORATION,3,0.0
"AlpacaDB, Inc.",3,0.0
"Harris & Harris, Ltd.",3,0.0
Hamiltonian Inc.,3,0.0
"Chattanooga Neighborhood Enterprise, Inc.",3,0.0
"Kimball, Tirey & St. John LLP",3,0.0
First Atlantic Auto Credit LLC,3,0.0
"Modern Asset Management, Inc.",3,0.0
"Pluese, Becker & Saltzman, LLC",3,0.0
"Ignite Revenue, Inc.",3,0.0
"Great Lakes Home Mortgage, Inc.",3,0.0
"Mid-Atlantic Solutions Holdings, LLC",3,0.0
Central Research Inc,3,0.0
"SOFTGATE SYSTEMS, INC.",3,0.0
Ray Skillman Chevrolet Inc,3,0.0
"Rainier Financial Group, LLC",3,0.0
"Vendor Resource Management, Inc.",3,0.0
Customer Service Mortgage Corporation,3,0.0
"The CMI Group, Inc.",3,0.0
JFK FINANCIAL INC.,3,0.0
"Herbert P. Sears Co., Inc.",3,0.0
Discovery Auto Sales LLC,3,0.0
"Financial Rescue, LLC",3,0.0
"Sign on the Line, Inc.",3,0.0
Allied Union Group Inc,3,0.0
"Waypoint Resource Group, LLC",3,0.0
"BDF Partners, PC",3,0.0
Terrill Outsourcing Group,3,0.0
Texan Financial Services Inc,3,0.0
"Circleback Lending, Inc.(Closed)",3,0.0
"Patch Homes, Inc. dba Noah",3,0.0
"TreeMac Funding Group, LLC",3,0.0
Electric Solidus LLC,3,0.0
Developers Mortgage Co.,3,0.0
USA Service Finance LLC,3,0.0
Columbus Finance Inc.,3,0.0
"Recovery Solutions Group, LLC",3,0.0
Bank of Baroda - New York Branch,3,0.0
Chaparral Inc,3,0.0
"Oliphant United, Inc.",3,0.0
"Accelerate Mortgage, LLC",3,0.0
Ascend One Corporation,3,0.0
Republic State Mortgage Co.,3,0.0
"WAMM Sales, LLC d/b/a Auto Simple",3,0.0
"TriVerity, Inc.",3,0.0
"ATLANTIC COAST MORTGAGE, LLC",3,0.0
LCI Acquisition Inc.,3,0.0
"Praxell, Inc.",3,0.0
Infinity Holding Corporation,3,0.0
"Spero Solutions, Inc.",3,0.0
Rapid Mortgage Company,3,0.0
Jupiter PreOwned Sales LLC,3,0.0
"MacDowell & Associates, Ltd.",3,0.0
Knight Adjustment Bureau,3,0.0
"Cawley & Bergmann, LLP",3,0.0
Retention Consulting Services Inc.,3,0.0
"Square One Financial, LLC",3,0.0
Performance SLC,3,0.0
Credit Wise Recovery Solution LLC,3,0.0
"Total Loan Company, LLC",3,0.0
"Elite Financial Services, Inc.",3,0.0
Barton Creek Auto Credit  LLC,3,0.0
"Auto Pro Title Pawn, Inc.",3,0.0
United Student Loan Assistance Center,3,0.0
GMH Associates Inc.,3,0.0
"Option Funding, Inc.",3,0.0
"Transfermate, Inc.",3,0.0
Financial Credit Network Inc,3,0.0
Cheadle Law Firm,3,0.0
AE Tradings Inc,3,0.0
"PRO MORTGAGE ASSOCIATES, INC",3,0.0
Arative Technologies LLC  (Bancoli),3,0.0
Opensky Legal Services,3,0.0
Extreme Loans LLC,3,0.0
Asset Recovery Bureau LLC,3,0.0
Zingo Cash Illinois LLC,3,0.0
"Oak Harbor Capital, LLC",3,0.0
National Check Resolution Inc.,3,0.0
Credit Card Acquisitions Group,3,0.0
"GMS Holdings, Inc.",3,0.0
"ClosingMark Financial Services, LLC",3,0.0
Unified Global Group,3,0.0
"Deal Depot, Inc.",3,0.0
"Frontline Asset Strategies, LLC",3,0.0
"CBM Mortgage, Inc.",3,0.0
Meridian Financial Solutions Inc,3,0.0
"ProCollect, Inc.",3,0.0
National Management Recovery Corp. (NMRC),3,0.0
TOPA EQUITIES,3,0.0
TheTenn Inc.,3,0.0
SOUTHERN CASCADES FINANCE CORPORATION,3,0.0
"EZ Loans, Inc.",3,0.0
Consumer Counseling Centers LLC,3,0.0
US Mortgage Resolution LLC,3,0.0
Sammamish Mortgage Company,3,0.0
"Durrett Motor Company, Inc.",3,0.0
AMERICAN EAGLE MORTGAGE COMPANY,3,0.0
Kiva Microfunds,3,0.0
"SF-ALP, LLC",3,0.0
"Admin Recovery, LLC",3,0.0
Mortgage Origination Holdings LLC,3,0.0
"Blake Enterprises, LLC",3,0.0
"First Title & Escrow, Inc",3,0.0
"Blue Front Financial, LLC d/b/a Ladder Loans",3,0.0
Quality Lenders Inc,3,0.0
"Commercial Credit, Inc.",3,0.0
Red Tree Mortgage LLC,3,0.0
"Sterling & Associates, LLC",3,0.0
"Curfin Holding Company, Inc",3,0.0
"SameDay Auto Finance, LLC",3,0.0
Kora Financial,3,0.0
AMERICAN FINANCIAL MORTGAGE COMPANY,3,0.0
TOC Financial DBA Mi Gente,3,0.0
"Doxo, Inc.",3,0.0
CARDPLATFORMS LLC,3,0.0
"Evesham Mortgage, LLC",3,0.0
"Anchor Financial, Inc.",3,0.0
"AGORA NOTUS, LLC",3,0.0
"Money Services, Inc., d/b/a Texoma Finance",3,0.0
"Poser Investments, Inc.",3,0.0
"DISCOUNT BANCORP, INC.",3,0.0
"The Lemoine Group, Inc",3,0.0
The Home Loan Expert LLC,3,0.0
Chaplain Financial Services LLC,3,0.0
"Bayside Capital Services, LLC",3,0.0
"Professional Debt Mediation, Inc.",3,0.0
CITY CREEK MORTGAGE CORP.,3,0.0
ENRAMEX INC,3,0.0
"Statewide Mortgage, LLC",3,0.0
PLACID NK CORPORATION,3,0.0
"Capital Eleven Auto, LLC dba Capital Auto Loan",3,0.0
"PRIORITY HOME MORTGAGE, L.P.",3,0.0
Money Tree Lending,3,0.0
"The Sayer Law Group, P.C.",3,0.0
Duane Morris LLP,3,0.0
M Squared Financial LLC,3,0.0
Integra Auto Capital,3,0.0
Southeast Investment Corp,3,0.0
First Advantage LNS Inc.,3,0.0
"Instant Cash Flow, Inc.",3,0.0
Law Offices of Goldsmith & Hull A.P.C.,3,0.0
"America Transfers, Inc.",3,0.0
Personal Loan Service,3,0.0
The Star Financial,3,0.0
"Andrews & Cox, P.C.",3,0.0
Ascent Holding Co,3,0.0
"60 Month Loans, Inc.",3,0.0
Lexington Mortgage Corporation,3,0.0
"Nelson and Kennard, LLP",3,0.0
Credit One LLC,3,0.0
"Resurgence Legal Group, PC",3,0.0
"CORNERSTONE MORTGAGE, INC.",3,0.0
DallasAutos4Less,3,0.0
ReliaMax Holding Company,3,0.0
"Reverse Mortgages.com, Inc.",3,0.0
"VICTORY MORTGAGE, LLC",3,0.0
Brother Loan & Finance Co.,3,0.0
Kirschenbaum & Phillips P.C,3,0.0
"Automotive Services Finance, Inc.",3,0.0
UNIVERSAL LENDING CORP.,3,0.0
Budget Mortgage Corp.,3,0.0
"Finular Group, Inc.",3,0.0
Banc One Mortgage Corporation,3,0.0
"Miller Investment Group, Inc DBA AutoNow",3,0.0
Next Level Finance Partners  LLC,3,0.0
"Financial Solutions Group, LLC",3,0.0
"Burke Moore Law Group, LLP",3,0.0
Credit Sage LLC,3,0.0
Residential Home Mortgage Corporation,3,0.0
Southeast Finance Inc.,3,0.0
Hatfield Portfolio Group LLC.,3,0.0
Automotive Partners Funding,3,0.0
"Aubrey Thrasher, LLC",3,0.0
Michael J Adams PC,3,0.0
First Credit Services Inc.,3,0.0
Pacific Lending LLC,3,0.0
"River City Finance Co., Inc.",3,0.0
Portage Financial Services Company Inc.,3,0.0
A1 Holding Group LLC,3,0.0
"POWERPAY, LLC",3,0.0
"Crystal Motorsports, LLC",3,0.0
Double D Finance dba Idaho Finance,3,0.0
Consolidation Capital,3,0.0
"Premia Mortgage, LLC",3,0.0
"Tenaglia & Hunt, PA",3,0.0
Infinity Capital Group,3,0.0
Market Place Mortgage Corp.,3,0.0
"Southern Loans, Inc.",3,0.0
"PLM Lender Services, Inc.",3,0.0
AMERICAN ARMED FORCES MUTUAL AID ASSOCIATION,3,0.0
GUARANTY HOME MORTGAGE CORPORATION,3,0.0
"FlexPath Capital, Inc",3,0.0
"Steel River Systems, LLC",3,0.0
Peoples Credit Inc.,3,0.0
ZOOM HOME LENDING LLC,3,0.0
Orion Capital Solutions LLC,3,0.0
TRG Auto Finance LLC,3,0.0
Forster & Garbus LLP,3,0.0
Auto One Acceptance LLC,3,0.0
"American Mortgage Services,  Inc",3,0.0
"Direct, Inc",3,0.0
CITYWIDE HOME LOANS,3,0.0
"New Southern Loans, Inc",3,0.0
"D&A Services, LLC",3,0.0
Veterans Relief Services LLC,3,0.0
Tri-Cities Finance Company,3,0.0
Recreational Holdings Corp.,3,0.0
INSPERITY INC,3,0.0
"Patriot Finance, LLC",3,0.0
ASTA FUNDING INC.,3,0.0
Cooling & Winter LLC,3,0.0
Breit Investment,3,0.0
"Equity Wave Lending, Inc.",3,0.0
"TriStar Finance, Inc.",3,0.0
"J J Marshall & Associates, Inc",3,0.0
FundLoans Capital,3,0.0
S.B.S. Trust Deed Network,3,0.0
"Eagle Accounts Group, Inc.",3,0.0
"Vellum Mortgage, Inc.",3,0.0
SG and Associates,3,0.0
"USA Cash Services Management, Inc.",3,0.0
GUARANTEED HOME MORTGAGE COMPANY,3,0.0
"LAKELAND BANCORP, INC.",3,0.0
Riverwalk Financial CORPORATION,3,0.0
"Leachman Law, P.C.",3,0.0
"CONSUMER PROTECTION ASSISTANCE COALITION, INC",3,0.0
MCI Mortgage Inc,3,0.0
"Credit Shop, Incorporated",3,0.0
Diamond Advances LLC,3,0.0
Madison Atrina LLC,3,0.0
"America’s Financial Choice, Inc.",3,0.0
Hunt & Henriques,3,0.0
Reel Time Capital LLC,3,0.0
"JMC Leasing Specialties, LLC",3,0.0
"AA Recovery Solutions, Inc.",3,0.0
"LTD Financial Services, L.P.",3,0.0
"J & B Endeavors, LLC",3,0.0
"Law Offices of Robert S. Gitmeid & Associates, PLLC",3,0.0
Credit Solutions,3,0.0
"Atlas Capital, Inc.",3,0.0
"Empire Financial Services, Inc.",3,0.0
"Graystone Funding Company, LLC",3,0.0
SQUARETWO FINANCIAL CORPORATION,3,0.0
"CENTENNIAL LENDING, LLC",3,0.0
Premier Capital Investment Group,3,0.0
State Finance Company,3,0.0
"LendKey Technologies, Inc.",3,0.0
"Old Dominion Mortgage Co., Inc",3,0.0
FORTIFI FUNDING III LLC,3,0.0
Law Offices of Jeffrey Nadel,3,0.0
AmeriCollect,3,0.0
Student Loan Direct,3,0.0
Novation Inheritance LLC,3,0.0
CONTINENTAL MORTGAGE BANKERS,2,0.0
PINGPONG GLOBAL SOLUTIONS INC,2,0.0
Mid Atlantic Auto Finance,2,0.0
"Galt Financial Solutions, LLC",2,0.0
Barker Financial LLC,2,0.0
FINEX Group LLC,2,0.0
"MovoCash, Inc.",2,0.0
"Parkstone Mortgage, LLC",2,0.0
Unlock Wealth $,2,0.0
Express Paycheck LLC,2,0.0
"Valor Intelligent Processing, LLC",2,0.0
"MM RV JV 1, LLC",2,0.0
Zachter PLLC,2,0.0
"Munar Mortgage, LLC DBA Co/LAB Lending",2,0.0
"Metrolina Credit Co. of Burlington, INC.",2,0.0
Lynx Whole Loan Acquisition LLC,2,0.0
"Atlantica, LLC",2,0.0
Johnson Mark LLC,2,0.0
BFS Capital Inc.,2,0.0
Southern Credit LLC,2,0.0
"Van Horn Automotive Group, Inc.",2,0.0
"Aldridge PIte Haan, LLP",2,0.0
SmartCredit LLC,2,0.0
Woodlands Financial Services Inc,2,0.0
COMMUNITY REINVESTMENT FUND,2,0.0
"Charlottesville Bureau of Credits, Inc",2,0.0
"Progrexion Holdings, Inc.",2,0.0
Retail Merchants Associates,2,0.0
"AMCOL Systems, Inc.",2,0.0
"Stream Platforms, Inc.",2,0.0
Sonali Exchange Co. Inc,2,0.0
"Credit Technology, Inc.",2,0.0
SI Mortgage Comapny Co.,2,0.0
SL Finance LLC,2,0.0
"Solutions To Portfolios, LLC",2,0.0
City Select Auto Sales,2,0.0
"Waddell Serafino Geary Rechner Jenevein, PC",2,0.0
CAC Financial Corp,2,0.0
Advance Loan Service,2,0.0
INDIANAPOLIS NEIGHBORHOOD HOUSING PARTNERSHIP,2,0.0
INTEGRITY CREDIT CORPORATION,2,0.0
DMI America Inc,2,0.0
Southwest Acceptance Finance Co,2,0.0
"LL Capital Partners II, L.P.",2,0.0
"American Profit Recovery, Inc., Marlborough, MA Branch",2,0.0
"Foundation Title & Settlement Services, LLC",2,0.0
"Insight One Solutions, LLC",2,0.0
"First Commerce, LLC",2,0.0
"Harbour Portfolio Advisors, LLC",2,0.0
ALMA Financial Assistance Corp.,2,0.0
1st Nationwide Mortgage of Texas Corp.,2,0.0
Red Target LLC,2,0.0
"RGS Financial, Inc.",2,0.0
Instant Cash Advance Corp.,2,0.0
Neat Capital Inc.,2,0.0
Florida Pro Mortgage LLC,2,0.0
"Flyhomes, Inc.",2,0.0
"Mesa Auto Finance, LLC",2,0.0
Open Road Finance Corporation,2,0.0
WESTERN EXPRESS LENDING,2,0.0
ACS Education Services,2,0.0
"Ascend Consumer Finance, Inc.",2,0.0
Summit Horizon Financial Services,2,0.0
Open Assets LLC,2,0.0
"Superior Home Loans, Inc.",2,0.0
Alamo Premier Mortgage Group Inc,2,0.0
SIGNATURE MORTGAGE CORPORATION,2,0.0
Granite Edvance Corporation,2,0.0
Gotham Collection Services Corp.,2,0.0
"snapfi, inc.",2,0.0
MS SERVICES LLC,2,0.0
SUNSTREET MORTGAGE LLC,2,0.0
"Porania, LLC",2,0.0
"SIMM Associates, Inc.",2,0.0
Abbott Osborn Jacobs PLC,2,0.0
FundFlare LLC,2,0.0
"Devon Clark Currency Exchange, Inc",2,0.0
"Cash Advance Centers of KY, Inc.",2,0.0
"Wedgewood, LLC",2,0.0
"Rate Plus, Inc.",2,0.0
Madison McDuffie Mortgage Corporation,2,0.0
The Moore Law Group,2,0.0
Quik Fund Inc.,2,0.0
"LLOYD'S PLAN, INC.",2,0.0
Southern Fidelity Mortgage Group of Huntsville,2,0.0
Mortgage Choice LLC dba: Motto Mortgage Choice,2,0.0
Rivertown Credit LLC,2,0.0
"Slovin & Council Co., L.P.A.",2,0.0
SUN AMERICAN MORTGAGE,2,0.0
Empire Mortgage (NV),2,0.0
"Equinox Home Financing, Inc.",2,0.0
GREATAMERICA FINANCIAL SERVICES CORP.,2,0.0
"United Mortgage Services, LLC",2,0.0
RGV Loans LLC,2,0.0
KWIK MORTGAGE CORPORATION,2,0.0
"Consolidated Information Services Solutions, LLC",2,0.0
"AMERICAN HOME MORTGAGE, INC.",2,0.0
Capital Mortgage,2,0.0
"391 Financial, Inc.",2,0.0
West One Capital Group Inc.,2,0.0
CW Financial,2,0.0
"Professional Datasolutions, Inc.",2,0.0
Shield Home Loans Inc.,2,0.0
"AAS Debt Recovery, Inc.",2,0.0
Posh RE Mortgage corporation,2,0.0
"First Financial Credit, Inc",2,0.0
"Market Mortgage Company, LTD",2,0.0
"TriPoint Lending, LLC",2,0.0
"Blakely-Witt and Associates, Inc.",2,0.0
Integra Holdings Inc.,2,0.0
EXECUTIVE FINANCIAL GROUP,2,0.0
"First Federal Credit Control, Inc.",2,0.0
Elite Mortgage Funding inc,2,0.0
Greystone Alliance LLC,2,0.0
"JAMS-01, Inc",2,0.0
Roycroft Management,2,0.0
Allied Consulting Services LLC,2,0.0
"LPI, INC.",2,0.0
Zeidman’s Jewelry & Loan of Michigan,2,0.0
"Horizon West Financial, Inc",2,0.0
"Apothaker & Associates, PC",2,0.0
Lon Inc.,2,0.0
Clear Start Today,2,0.0
Stewart Title of Sacramento\Placer,2,0.0
F&B Acquisition Group LLC,2,0.0
"Berman & Rabin, P.A.",2,0.0
MORTGAGE FINANCIAL SERVICES,2,0.0
Phoenix Financial Services LLC,2,0.0
Dealer Finance of Western Kentucky,2,0.0
Hirshberg Acceptance Corporation,2,0.0
Lending Tower LLC,2,0.0
"Standard Financial of Louisiana, LLC",2,0.0
"United Lending Team, INC",2,0.0
Saint Services LLC,2,0.0
CarPutty Inc.,2,0.0
Federated Student Loan Services,2,0.0
Wisconsin Housing and Economic Development Authority,2,0.0
Makower Abbate Guerra Wegner Vollmer PLLC,2,0.0
"Abrahamsen Ratchford, P.C",2,0.0
"Healthcare Financial Services, LLC",2,0.0
"Rausch, Sturm, Israel, Enerson & Hornik, LLP",2,0.0
"One Technologies, LP",2,0.0
Oklahoma Student Loan Authority,2,0.0
NewFed Mortgage Corp,2,0.0
"A+ Financial Services, Inc.",2,0.0
"Touchstone Partners, Inc.",2,0.0
"Advanced Call Center Technologies, LLC",2,0.0
"General Recovery Services of WV, Inc.",2,0.0
Normandy Corporation,2,0.0
Fairfax Lending Inc.,2,0.0
"American Collection Systems, Inc. (OH)",2,0.0
"Zarzaur and Schwartz, PC",2,0.0
"Liberty Holdings, LLC",2,0.0
"RentDebt Automated Collections, LLC",2,0.0
"The Law Firm of Derek Williams, LLC d/b/a Infinite Law Group",2,0.0
"College Foundation, Inc.",2,0.0
Exchange Finance Company,2,0.0
"Global Asset Management Group, Inc.",2,0.0
Drexel Mortgage Corporation,2,0.0
"K STREET FINANCE, INC.",2,0.0
Belem Servicing LLC,2,0.0
"Credit Bureau Financial Services, Inc.",2,0.0
Texas Guaranteed,2,0.0
"Halliday, Watkins & Mann, P.C.",2,0.0
Win-Win LLC,2,0.0
The Phoenix Recovery Group,2,0.0
"The Zellman Group, LLC",2,0.0
"Dirick, Inc.",2,0.0
"Capital Credit and Collection Service, Inc.",2,0.0
"Cornerstone Residential Lending Solutions, Inc",2,0.0
Suffolk Consulting Group Inc,2,0.0
MEMBER MORTGAGE SERVICES,2,0.0
